Yb3O2_Pellet_#6,-1.79243,-1.43327,-11.2782
Yb3O2_Pellet_#6,-1.65885,-1.72389,-7.52424
Yb3O2_Pellet_#5,-0.173711,-2.27363,-9.06849
Yb3O2_Pellet_#5,0.158698,-2.14884,5.15347
Yb3O2_Pellet_#6,-1.89104,-1.78156,-9.10858
Yb3O2_Pellet_#1,-0.21112,2.23223,3.91202
Yb3O2_Pellet_#6,-1.5769,-1.91472,-0.111924
Yb3O2_Pellet_#8,-1.38261,1.56281,-0.108376
Yb3O2_Pellet_#7,-2.55211,-0.0946236,-3.82357
Yb3O2_Pellet_#6,-1.92917,-1.68118,-9.87134
Yb3O2_Pellet_#3,2.10415,0.0674612,-8.93988
Yb3O2_Pellet_#8,-1.58261,1.33831,3.78854
Yb3O2_Pellet_#2,1.61613,1.85986,8.50623
Yb3O2_Pellet_#2,1.46901,1.82029,1.3403
LD_Canister,0.435328,3.18998,0.824783
Yb3O2_Pellet_#7,-2.49361,0.225426,-0.955487
Yb3O2_Pellet_#6,-1.53865,-1.91804,-3.92349
LD_Canister,3.83411,0.172003,-14.5745
Yb3O2_Pellet_#1,0.247194,2.47945,-0.427388
Yb3O2_Pellet_#1,-0.165107,2.43012,9.56303
Yb3O2_Pellet_#5,-0.00663754,-2.27245,9.5928
Yb3O2_Pellet_#1,-0.157277,2.47023,0.372839
Yb3O2_Pellet_#5,-0.0626104,-2.0502,-0.404982
Yb3O2_Pellet_#4,1.59212,-1.34462,-1.8246
Yb3O2_Pellet_#8,-1.55627,1.45543,-6.07711
LD_Canister,-4.30206,-0.406889,-2.9543
LD_Canister,2.9682,-0.687301,-10.5329
Yb3O2_Pellet_#8,-1.76467,1.3687,-7.98042
Yb3O2_Pellet_#6,-1.47656,-1.53331,7.79743
Yb3O2_Pellet_#4,1.73915,-1.8184,7.94157
Yb3O2_Pellet_#3,2.27387,-0.238808,3.07437
Yb3O2_Pellet_#8,-1.87648,1.73759,-0.905063
Yb3O2_Pellet_#6,-1.45958,-1.87336,-4.65552
Yb3O2_Pellet_#2,1.85497,1.83506,3.45093
Yb3O2_Pellet_#3,2.51683,0.198186,-6.9832
Yb3O2_Pellet_#2,1.40273,1.78713,0.129748
LD_Canister,1.88312,0.676679,2.89462
Yb3O2_Pellet_#1,-0.216453,2.49354,4.19021
Yb3O2_Pellet_#5,-0.285304,-2.23157,3.93922
Yb3O2_Pellet_#7,-2.4582,-0.00615844,-3.82987
LD_Canister,1.70224,4.23748,12.1793
Yb3O2_Pellet_#2,1.57622,1.83262,7.73973
LD_Canister,1.63546,-4.38478,12.9926
Yb3O2_Pellet_#8,-1.50748,1.9021,-7.54085
Yb3O2_Pellet_#2,1.35872,1.52708,8.68389
Yb3O2_Pellet_#3,2.28313,0.157422,-6.41112
Yb3O2_Pellet_#2,1.78537,1.42273,-7.41148
LD_Canister,-3.99509,-1.75725,-3.09547
LD_Canister,0.429441,-2.01048,14.9929
Yb3O2_Pellet_#7,-2.25355,-0.275437,-6.28515
LD_Canister,3.63041,1.11537,-5.99222
Yb3O2_Pellet_#2,1.92952,1.62729,-9.98367
Yb3O2_Pellet_#3,2.05982,0.137115,-9.24854
LD_Canister,2.96587,-3.67666,-4.59652
Yb3O2_Pellet_#2,1.38088,1.72853,-4.39015
Yb3O2_Pellet_#1,0.241903,2.32179,6.69646
Yb3O2_Pellet_#5,0.287578,-2.37191,5.89568
Yb3O2_Pellet_#3,2.48071,-0.228618,5.64192
Yb3O2_Pellet_#7,-2.57891,-0.0343564,8.71694
Yb3O2_Pellet_#8,-1.4636,1.79304,-2.87951
Yb3O2_Pellet_#8,-1.77163,1.86892,-3.43465
Yb3O2_Pellet_#3,2.49859,-0.231952,4.84484
Yb3O2_Pellet_#5,0.291315,-2.33053,-0.637087
Yb3O2_Pellet_#2,1.56573,1.70199,9.5191
Yb3O2_Pellet_#5,0.237079,-2.4019,-4.40445
Yb3O2_Pellet_#4,1.35665,-1.68606,5.0555
LD_Canister,-1.21239,3.21318,-1.63247
Yb3O2_Pellet_#5,0.289432,-2.352,9.53835
Yb3O2_Pellet_#2,1.50305,1.38846,3.22233
Yb3O2_Pellet_#3,2.09162,0.0971391,0.0221296
Yb3O2_Pellet_#2,1.84298,1.82627,9.29943
Yb3O2_Pellet_#7,-2.12384,0.233127,3.41538
Yb3O2_Pellet_#7,-2.30112,-0.294789,-8.04588
Yb3O2_Pellet_#5,-0.0845639,-2.37178,-3.34906
Yb3O2_Pellet_#7,-2.21159,0.281868,1.53055
Yb3O2_Pellet_#4,1.47093,-1.80971,8.60292
Yb3O2_Pellet_#7,-2.15594,-0.242233,-7.54043
Yb3O2_Pellet_#1,-0.247558,2.21486,8.78517
Yb3O2_Pellet_#4,1.35797,-1.52595,-5.56224
Yb3O2_Pellet_#2,1.71468,1.58742,6.16673
Yb3O2_Pellet_#7,-2.60027,-0.0507196,4.82722
Yb3O2_Pellet_#5,-0.171439,-2.07815,7.92209
LD_Canister,-1.82884,-0.80979,2.25735
Yb3O2_Pellet_#5,-0.141621,-2.0578,0.532337
Yb3O2_Pellet_#6,-1.92284,-1.56166,1.42876
Yb3O2_Pellet_#7,-2.5311,-0.000874251,9.60589
Yb3O2_Pellet_#3,2.47207,0.250258,5.22282
Yb3O2_Pellet_#2,1.5041,1.36536,1.89433
Yb3O2_Pellet_#5,-0.0882012,-2.32539,5.14656
Yb3O2_Pellet_#2,1.77069,1.72915,-5.7632
LD_Canister,-0.237897,-4.18826,-3.71955
Yb3O2_Pellet_#4,1.7273,-1.86464,5.10341
Yb3O2_Pellet_#7,-2.35444,0.137058,-11.3731
Yb3O2_Pellet_#6,-1.6877,-1.79695,-6.72417
Yb3O2_Pellet_#2,1.76643,1.39988,6.41903
Yb3O2_Pellet_#7,-2.14499,0.133507,-2.57575
Yb3O2_Pellet_#4,1.50278,-1.90302,7.03293
LD_Canister,1.39652,-2.28433,-0.312966
Yb3O2_Pellet_#4,1.65025,-1.92275,-0.442151
LD_Canister,-3.14813,-2.66432,12.7433
Yb3O2_Pellet_#8,-1.56078,1.60416,-1.26802
Yb3O2_Pellet_#7,-2.15164,-0.235084,-10.8226
Yb3O2_Pellet_#1,0.269177,2.21687,-10.4275
Yb3O2_Pellet_#1,0.0437328,2.03001,-9.03462
Yb3O2_Pellet_#2,1.44682,1.65622,6.26034
Yb3O2_Pellet_#2,1.54536,1.85424,-8.59373
LD_Canister,0.520115,-3.70495,-3.06738
Yb3O2_Pellet_#1,-0.0248002,2.02436,4.08297
Yb3O2_Pellet_#8,-1.90621,1.69756,-3.70871
Yb3O2_Pellet_#8,-1.67701,1.82404,0.835326
Yb3O2_Pellet_#3,2.54318,-0.181152,-1.24785
Yb3O2_Pellet_#3,2.57382,-0.0900569,3.48297
