 1.0000E-05 4.0518E+01 1.2083E-05 3.6861E+01 1.4166E-05 3.4043E+01
 1.6250E-05 3.1786E+01 1.8333E-05 2.9925E+01 2.2499E-05 2.7013E+01
 2.6665E-05 2.4813E+01 3.0832E-05 2.3076E+01 3.4998E-05 2.1659E+01
 3.9165E-05 2.0474E+01 4.3331E-05 1.9465E+01 5.1664E-05 1.7826E+01
 5.9996E-05 1.6542E+01 6.8329E-05 1.5501E+01 7.6662E-05 1.4634E+01
 9.3327E-05 1.3263E+01 1.0999E-04 1.2217E+01 1.2666E-04 1.1385E+01
 1.4332E-04 1.0703E+01 1.7666E-04 9.6403E+00 2.0999E-04 8.8422E+00
 2.4332E-04 8.2142E+00 2.7665E-04 7.7035E+00 3.4331E-04 6.9153E+00
 4.0997E-04 6.3281E+00 4.7663E-04 5.8690E+00 5.4329E-04 5.4971E+00
 6.7662E-04 4.9259E+00 8.0994E-04 4.5022E+00 9.4327E-04 4.1719E+00
 1.0766E-03 3.9051E+00 1.3432E-03 3.4961E+00 1.6099E-03 3.1934E+00
 1.8765E-03 2.9579E+00 2.1432E-03 2.7678E+00 2.6765E-03 2.4767E+00
 3.2098E-03 2.2616E+00 3.7431E-03 2.0943E+00 4.2764E-03 1.9594E+00
 5.3430E-03 1.7530E+00 6.4095E-03 1.6005E+00 7.4761E-03 1.4819E+00
 8.5427E-03 1.3864E+00 1.0676E-02 1.2401E+00 1.2809E-02 1.1322E+00
 1.4942E-02 1.0483E+00 1.7075E-02 9.8063E-01 2.1342E-02 8.7717E-01
 2.5300E-02 8.0566E-01 2.5608E-02 8.0079E-01 2.9875E-02 7.4143E-01
 3.4141E-02 6.9357E-01 4.2674E-02 6.2040E-01 5.1206E-02 5.6638E-01
 5.9739E-02 5.2439E-01 6.8272E-02 4.9055E-01 8.5337E-02 4.3881E-01
 1.0240E-01 4.0062E-01 1.1947E-01 3.7093E-01 1.3653E-01 3.4701E-01
 1.7066E-01 3.1043E-01 2.0479E-01 2.8344E-01 2.3893E-01 2.6246E-01
 2.7306E-01 2.4555E-01 3.4132E-01 2.1971E-01 4.0958E-01 2.0064E-01
 4.7784E-01 1.8582E-01 5.4610E-01 1.7388E-01 6.8263E-01 1.5563E-01
 8.1915E-01 1.4217E-01 9.5567E-01 1.3172E-01 1.0922E+00 1.2330E-01
 1.3652E+00 1.1045E-01 1.6383E+00 1.0097E-01 1.9113E+00 9.3615E-02
 2.1844E+00 8.7697E-02 2.7305E+00 7.8670E-02 3.2766E+00 7.2029E-02
 3.8227E+00 6.6886E-02 4.3688E+00 6.2756E-02 5.4609E+00 5.6475E-02
 6.5531E+00 5.1878E-02 7.6453E+00 4.8335E-02 8.7375E+00 4.5507E-02
 1.0922E+01 4.1248E-02 1.3106E+01 3.8177E-02 1.5291E+01 3.5854E-02
 1.7475E+01 3.4039E-02 2.1844E+01 3.1415E-02 2.6212E+01 2.9662E-02
 3.0581E+01 2.8478E-02 3.4950E+01 2.7703E-02 4.3688E+01 2.7055E-02
 5.2425E+01 2.7371E-02 6.1162E+01 2.8599E-02 6.9900E+01 3.0882E-02
 7.4269E+01 3.2524E-02 7.8637E+01 3.4593E-02 8.3006E+01 3.7198E-02
 8.7375E+01 4.0495E-02 9.1744E+01 4.4713E-02 9.6113E+01 5.0196E-02
