 1.0000E-05 2.7673E-01 1.0749E-05 2.6692E-01 1.1544E-05 2.5756E-01
 1.2295E-05 2.4957E-01 1.3087E-05 2.4190E-01 1.3809E-05 2.3549E-01
 1.4563E-05 2.2932E-01 1.5351E-05 2.2335E-01 1.6174E-05 2.1759E-01
 1.7662E-05 2.0823E-01 1.9261E-05 1.9939E-01 2.0757E-05 1.9208E-01
 2.2349E-05 1.8511E-01 2.3851E-05 1.7919E-01 2.5436E-05 1.7352E-01
 2.6943E-05 1.6859E-01 2.8523E-05 1.6386E-01 3.1484E-05 1.5596E-01
 3.4697E-05 1.4857E-01 3.7679E-05 1.4257E-01 4.0872E-05 1.3689E-01
 4.3868E-05 1.3213E-01 4.7046E-05 1.2759E-01 5.0054E-05 1.2370E-01
 5.3220E-05 1.1996E-01 5.6237E-05 1.1670E-01 5.9395E-05 1.1356E-01
 6.5326E-05 1.0828E-01 7.1743E-05 1.0333E-01 7.7713E-05 9.9280E-02
 8.4092E-05 9.5442E-02 9.0090E-05 9.2210E-02 1.0000E-04 8.7523E-02
 1.0879E-04 8.3913E-02 1.2061E-04 7.9695E-02 1.3349E-04 7.5754E-02
 1.4540E-04 7.2584E-02 1.5818E-04 6.9588E-02 1.7016E-04 6.7094E-02
 1.8288E-04 6.4718E-02 1.9490E-04 6.2690E-02 2.0758E-04 6.0745E-02
 2.1911E-04 5.9124E-02 2.3118E-04 5.7559E-02 2.4379E-04 5.6049E-02
 2.5697E-04 5.4592E-02 2.8077E-04 5.2226E-02 3.0637E-04 4.9994E-02
 3.3030E-04 4.8148E-02 3.5576E-04 4.6392E-02 3.7979E-04 4.4899E-02
 4.0516E-04 4.3470E-02 4.2819E-04 4.2284E-02 4.5231E-04 4.1141E-02
 4.7755E-04 4.0038E-02 5.0395E-04 3.8975E-02 5.5150E-04 3.7257E-02
 6.0273E-04 3.5638E-02 6.5057E-04 3.4303E-02 7.0152E-04 3.3034E-02
 7.4956E-04 3.1959E-02 8.0031E-04 3.0929E-02 8.4635E-04 3.0077E-02
 8.9456E-04 2.9256E-02 9.4505E-04 2.8464E-02 1.0000E-03 2.7672E-02
 1.0941E-03 2.6456E-02 1.1955E-03 2.5310E-02 1.2911E-03 2.4356E-02
 1.3930E-03 2.3448E-02 1.4891E-03 2.2680E-02 1.5906E-03 2.1945E-02
 1.6827E-03 2.1336E-02 1.7791E-03 2.0750E-02 1.8801E-03 2.0185E-02
 1.9858E-03 1.9641E-02 2.1759E-03 1.8763E-02 2.3809E-03 1.7936E-02
 2.5722E-03 1.7256E-02 2.7761E-03 1.6610E-02 2.9682E-03 1.6063E-02
 3.1713E-03 1.5540E-02 3.3553E-03 1.5107E-02 3.5481E-03 1.4690E-02
 3.7501E-03 1.4289E-02 3.9616E-03 1.3902E-02 4.3418E-03 1.3279E-02
 4.7519E-03 1.2693E-02 5.1344E-03 1.2211E-02 5.5422E-03 1.1754E-02
 5.9264E-03 1.1367E-02 6.3325E-03 1.0997E-02 6.7005E-03 1.0691E-02
 7.0862E-03 1.0396E-02 7.4901E-03 1.0112E-02 7.9131E-03 9.8388E-03
 8.6735E-03 9.3981E-03 9.4938E-03 8.9831E-03 1.0000E-02 8.7528E-03
 1.1074E-02 8.3172E-03 1.1843E-02 8.0427E-03 1.2655E-02 7.7800E-03
 1.3391E-02 7.5630E-03 1.4162E-02 7.3540E-03 1.4970E-02 7.1526E-03
 1.5816E-02 6.9585E-03 1.7337E-02 6.6462E-03 1.8978E-02 6.3524E-03
 2.0507E-02 6.1109E-03 2.2139E-02 5.8815E-03 2.3675E-02 5.6874E-03
 2.5300E-02 5.5019E-03 2.7646E-02 5.2633E-03 3.0170E-02 5.0384E-03
 3.2530E-02 4.8523E-03 3.5041E-02 4.6752E-03 3.7410E-02 4.5248E-03
