 1.0000E-05 0.0000E+00 1.0000E-05 1.8660E+03 1.0500E-04 1.8660E+03
 1.0500E-04 1.8208E+03 1.1000E-04 1.8208E+03 1.1000E-04 1.7824E+03
 1.1500E-04 1.7824E+03 1.1500E-04 1.7468E+03 1.2000E-04 1.7468E+03
 1.2000E-04 1.7022E+03 1.2750E-04 1.7022E+03 1.2750E-04 1.6490E+03
 1.3500E-04 1.6490E+03 1.3500E-04 1.6046E+03 1.4250E-04 1.6046E+03
 1.4250E-04 1.5642E+03 1.5000E-04 1.5642E+03 1.5000E-04 1.5172E+03
 1.6000E-04 1.5172E+03 1.6000E-04 1.4710E+03 1.7000E-04 1.4710E+03
 1.7000E-04 1.4285E+03 1.8000E-04 1.4285E+03 1.8000E-04 1.3880E+03
 1.9000E-04 1.3880E+03 1.9000E-04 1.3530E+03 2.0000E-04 1.3530E+03
 2.0000E-04 1.3186E+03 2.1000E-04 1.3186E+03 2.1000E-04 1.2895E+03
 2.2000E-04 1.2895E+03 2.2000E-04 1.2627E+03 2.3000E-04 1.2627E+03
 2.3000E-04 1.2359E+03 2.4000E-04 1.2359E+03 2.4000E-04 1.2022E+03
 2.5500E-04 1.2022E+03 2.5500E-04 1.1658E+03 2.7000E-04 1.1658E+03
 2.7000E-04 1.1408E+03 2.8000E-04 1.1408E+03 2.8000E-04 1.1106E+03
 3.0000E-04 1.1106E+03 3.0000E-04 1.0725E+03 3.2000E-04 1.0725E+03
 3.2000E-04 1.0407E+03 3.4000E-04 1.0407E+03 3.4000E-04 1.0093E+03
 3.6000E-04 1.0093E+03 3.6000E-04 9.8203E+02 3.8000E-04 9.8203E+02
 3.8000E-04 9.5656E+02 4.0000E-04 9.5656E+02 4.0000E-04 9.3017E+02
 4.2500E-04 9.3017E+02 4.2500E-04 9.0552E+02 4.5000E-04 9.0552E+02
 4.5000E-04 8.8101E+02 4.7500E-04 8.8101E+02 4.7500E-04 8.5650E+02
 5.0000E-04 8.5650E+02 5.0000E-04 8.3423E+02 5.2500E-04 8.3423E+02
 5.2500E-04 8.1596E+02 5.5000E-04 8.1596E+02 5.5000E-04 7.9776E+02
